x	y	resid
180696.63	431168.84	-37.2112
182236.19	429684.88	17.6446
183168.95	427610.16	5.1533
167500.13	430848.81	-13.3181
165211.73	429898.25	21.8495
163300.58	432956.72	21.3278
173767.11	427525.78	46.8444
173937.36	428416.06	-14.7606
183872.08	430489.88	55.4331
182600.97	430253.00	33.0219
179343.97	420397.06	-47.5128
158650.30	431254.47	-50.8708
163712.81	426922.47	-12.5056
161901.59	433143.03	30.791
160353.47	432686.19	-60.3795
168066.13	428830.94	2.5856
171974.23	428159.22	11.1176
178778.05	426242.22	-132.362
171475.50	427210.00	9.069
170424.11	426478.97	1.8493
173384.69	429690.88	-1.3114
182231.50	418979.84	-230.503
180389.67	422808.44	-52.8738
182232.16	422693.69	-40.9645
177245.45	429638.00	5.8043
159192.25	429130.13	30.626
160640.58	427234.03	9.4607
165640.27	425574.53	14.9341
157819.86	428169.56	1.8419
158720.77	432304.16	-73.6186
163339.16	432875.28	-57.9609
170544.22	432092.31	23.6667
183865.53	431093.31	31.1856
182537.14	426387.03	-58.4543
181185.83	419751.69	34.7842
180507.28	419023.63	3.7137
181214.00	423086.16	-16.2961
183174.42	421682.25	34.806
170863.00	433075.25	0.2429
175404.44	424137.38	2.8577
176300.80	423541.91	3.641
174574.84	426022.22	47.2874
174658.69	429075.00	49.4933
181433.34	426929.22	-4.5986
173328.19	424317.94	5.9713
183041.22	425483.72	-187.5309
182187.89	420252.38	19.759
182546.88	418805.56	-210.373
158018.34	429208.38	11.9481
166490.59	427382.50	-9.3351
165786.53	432434.13	-0.6648
169557.14	431953.34	7.0223
160595.83	430168.41	0.2301
168475.69	429993.41	21.3016
165489.06	425762.00	-7.265
171117.66	432343.56	109.9511
174864.63	429940.88	-72.5184
175538.61	432595.91	20.2667
185694.69	421311.78	-140.943
181394.66	423312.50	149.7
167244.53	432972.91	-15.7806
177212.19	430618.88	-7.0563
172406.33	430632.81	-64.647
178886.14	432609.88	-36.3579
172905.97	428510.09	-3.5164
177121.73	427327.13	0.2586
180834.95	426617.38	-44.5154
184182.52	430294.50	7.386
181488.16	420583.94	-25.111
156520.67	427000.22	61.3088
169901.78	432259.34	-71.226
175501.00	431552.66	23.0256
173223.75	427212.38	-1.3528
178312.77	425427.78	-13.2921
173427.50	429333.94	-0.7297
175022.11	428101.97	3.5074
178742.72	432809.59	-93.4778
182027.58	430753.03	23.9396
181960.05	428044.31	-26.6759
185101.58	420512.41	-96.516
181674.06	423296.59	12.78
158554.53	430211.91	19.3914
169909.64	431221.81	-9.9001
169268.69	428797.72	1.4003
161612.83	431630.06	4.6953
173957.47	433612.22	-42.2632
175339.72	423929.06	25.2997
175241.63	422843.25	-41.4783
181806.03	421168.78	12.1498
157095.55	427957.53	16.926
159731.16	429894.38	32.2763
167270.08	432168.00	-10.7092
165067.44	430458.13	-5.45
160848.23	432694.41	-119.2139
177562.78	430255.41	-52.3339
175891.55	424174.47	-5.1453
176752.22	434214.78	-61.4578
182779.19	424591.81	30.3341
181807.25	425237.13	-30.5967
186504.98	420139.09	-3.2354
183289.06	427607.28	-191.988
159191.08	426460.91	2.9383
158822.27	431666.84	15.8781
159131.86	433313.56	-30.3945
158346.75	432608.41	-461.35
160109.23	425864.31	23.5594
167351.06	429156.88	-107.9719
175213.84	426771.00	-14.1686
176595.22	433603.44	-18.0436
175570.17	428358.25	-12.3273
175376.97	427780.66	11.2765
179963.59	427638.41	-26.2051
183100.63	428150.03	-16.827
179050.95	421235.81	-40.8727
180610.77	424333.88	18.0504
164192.86	430099.72	28.486
160225.44	427365.16	7.8928
173440.09	432809.69	1.5814
171263.84	430849.38	22.2064
181768.64	426620.16	-68.546
181087.80	429711.19	-143.0612
180037.64	421151.53	18.7617
180712.67	429014.06	-5.2986
182132.03	424880.53	-60.802
184484.30	422540.81	5.2379
161012.77	428729.00	13.2379
163946.63	431367.94	12.8464
172618.81	433052.47	-103.5126
174835.14	432756.47	29.3044
174945.78	426219.72	25.7912
173302.13	425879.56	0.3052
180299.52	421094.09	-12.4202
180480.14	421051.00	28.1168
180634.20	427044.00	18.9012
183376.58	428955.66	-266.577
169455.53	432564.91	-103.8403
167625.84	433528.97	19.631
159984.55	424948.06	-4.4659
174045.67	427997.28	13.0721
178411.17	425839.59	41.869
170955.66	426724.59	19.5428
173923.75	430660.16	-93.3005
177087.81	434318.84	-23
171321.81	431625.53	66.5483
176042.44	430974.19	-88.3425
183314.06	431684.00	-151.518
181704.17	426883.97	-181.1544
182578.97	424949.81	-37.6509
181701.13	424709.78	47
177462.92	431450.00	14.7523
172109.53	427404.63	5.5562
171836.11	433008.31	-33.6533
175306.86	433539.91	-91.3293
183833.64	420135.06	-100.1035
180955.75	429705.50	-115.3625
185660.14	420905.44	4.471
180652.36	423599.97	27.229
182337.97	419297.22	-381.653
185846.41	420242.34	9.7994
182939.16	427422.13	-283.412
164313.67	426616.25	-3.2963
160082.14	430894.09	16.8687
169262.58	430583.06	-4.0915
162786.36	429401.22	11.8586
164682.84	429145.16	-0.0783
162370.16	427853.72	15.5326
166170.61	432870.25	22.4194
176352.13	429871.63	8.9825
172286.97	432753.88	19.1345
179271.06	423648.06	-47.9304
174194.14	428677.84	-27.7868
180414.47	425284.41	-614.346
181389.77	419626.16	-21.1471
182516.09	421765.38	-5.8558
158464.22	425534.94	-25.4235
169554.72	432379.19	-235.9307
164926.42	425909.75	-20.8409
165059.80	430565.38	-31.7026
164847.59	433171.84	-201.2228
164955.91	432993.88	-485.642
160890.64	429593.56	-6.6205
177288.48	430533.41	24.4429
176362.52	429429.22	1.8927
170123.27	426522.56	-8.3122
172959.34	430178.00	90.3791
176429.69	423163.28	-100.4101
173602.17	429232.47	-25.4259
171982.00	428595.28	33.8699
175543.52	430797.09	1.3195
181620.63	426714.94	-169.7994
181899.25	430862.25	11.9163
183192.36	430696.78	12.255
173060.06	434587.72	116.0927
172703.84	434124.94	55.107
163837.22	432936.63	-46.9518
169716.94	433986.28	-175.7797
169119.83	433135.38	-18.2654
175443.00	432006.94	33.2789
172064.89	427915.47	15.9613
174537.48	426610.00	12.9859
173954.64	430424.19	-37.3231
170676.61	429422.63	-10.9133
177405.25	427737.16	-19.2947
174609.58	431644.81	-1.9727
173902.00	429418.09	14.9587
183843.58	421447.63	-75.902
181174.39	424811.13	8.7234
182475.23	425056.44	80.9042
181748.72	428219.59	-2.3474
157788.41	426280.41	24.3492
165861.38	432665.06	31.6841
160166.48	426941.25	8.5004
160677.55	426940.88	18.6445
163378.08	426861.13	127.6417
165568.30	430715.50	-21.4005
169065.77	432851.00	-77.4155
165982.48	427432.19	71.9026
176740.41	430565.50	3.6711
172738.08	427161.16	11.5314
173776.97	430966.16	27.7272
176621.98	421551.78	-102.2498
171360.72	426605.06	50.8725
159255.23	432289.09	29.1465
166813.73	430217.09	-10.0719
168867.30	427084.28	19.5261
165057.44	428470.16	-1.8677
162860.75	431316.22	-1.0978
174000.95	432680.78	-20.4996
180733.83	425211.75	-257.193
184560.63	423877.25	-345.832
